"Country","timePeriod","no","asynchrony","AreaHarvested","propNo","propAsynchrony","metric"
"AUT",1978,1,0,42723.75,0.696649137825608,0,"asynchronyBetween"
"AUT",1978,2,0.3922812487,54093.75,0.882047205576617,0.676632041396497,"asynchronyBetween"
"AUT",1978,3,0.4808956712,59730,0.973951326892503,0.829479922328988,"asynchronyBetween"
"AUT",1978,4,0.5797556496,61327.5,1,1,"asynchronyBetween"
"AUT",1978,1,0,265900,0.606039886039886,0,"asynchronyWithin"
"AUT",1978,2,0.0627082062491176,334320,0.761982905982906,0.52293393866425,"asynchronyWithin"
"AUT",1978,3,0.0715203121961918,386800,0.881595441595442,0.596419524466587,"asynchronyWithin"
"AUT",1978,4,0.0955339961803454,414610,0.944980056980057,0.796673543817503,"asynchronyWithin"
"AUT",1978,5,0.10679658688129,433080,0.987076923076923,0.890594120837534,"asynchronyWithin"
"AUT",1978,6,0.11435150428592,436210,0.994210826210826,0.953595806757098,"asynchronyWithin"
"AUT",1978,7,0.118368385270227,438420,0.999247863247863,0.987093231096181,"asynchronyWithin"
"AUT",1978,8,0.119916114852472,438750,1,1,"asynchronyWithin"
"AUT",1988,1,0,33835,0.555350386947994,0,"asynchronyBetween"
"AUT",1988,2,0.441273312,46287.5,0.759739353800954,0.513915941895509,"asynchronyBetween"
"AUT",1988,3,0.7935520924,57155.5,0.938121147959393,0.924187028579917,"asynchronyBetween"
"AUT",1988,4,0.8586488101,60925.5,1,1,"asynchronyBetween"
"AUT",1988,1,0,244960,0.604854440850391,0,"asynchronyWithin"
"AUT",1988,2,0.171189358179923,316780,0.782192152892664,0.607685709052027,"asynchronyWithin"
"AUT",1988,3,0.226458448498353,364260,0.899429615546063,0.803879191496864,"asynchronyWithin"
"AUT",1988,4,0.273809175758128,388140,0.958394034420603,0.9719641739684,"asynchronyWithin"
"AUT",1988,5,0.275715616922788,401400,0.991135583594657,0.978731633483578,"asynchronyWithin"
"AUT",1988,6,0.277933937912558,403240,0.995678905651991,0.986606199857949,"asynchronyWithin"
"AUT",1988,7,0.281036109569104,404780,0.999481468678239,0.997618247585401,"asynchronyWithin"
"AUT",1988,8,0.281707066053888,404990,1,1,"asynchronyWithin"
"AUT",1998,1,0,37838.5714285714,0.356374018481344,0,"asynchronyBetween"
"AUT",1998,2,0.3198368608,68405.7142857143,0.644263733188382,0.668859643292982,"asynchronyBetween"
"AUT",1998,3,0.4055139965,80488.2142857143,0.758060024003143,0.848032169809558,"asynchronyBetween"
"AUT",1998,4,0.4442628347,91460.7142857143,0.861402031117976,0.929065775603595,"asynchronyBetween"
"AUT",1998,5,0.4580846161,99285.7142857143,0.93510002206567,0.95797061088041,"asynchronyBetween"
"AUT",1998,6,0.4711208238,102973.714285714,0.969834615115522,0.985232613172158,"asynchronyBetween"
"AUT",1998,7,0.4781823272,106176.571428571,1,1,"asynchronyBetween"
"AUT",1998,1,0,387080,0.616791752314483,0,"asynchronyWithin"
"AUT",1998,2,0.159322376759064,501660,0.799368994693819,0.621510945113259,"asynchronyWithin"
"AUT",1998,3,0.166794918206389,586500,0.934557101199866,0.650661064461203,"asynchronyWithin"
"AUT",1998,4,0.22425356532392,610900,0.973437226126169,0.874805210446112,"asynchronyWithin"
"AUT",1998,5,0.25296211319674,625380,0.99651034944309,0.98679623822401,"asynchronyWithin"
"AUT",1998,6,0.2539065826457,626480,0.998263141960259,0.990480580070991,"asynchronyWithin"
"AUT",1998,7,0.256346856015593,627570,1,1,"asynchronyWithin"
"AUT",2008,1,0,40770.1428571429,0.39084771228757,0,"asynchronyBetween"
"AUT",2008,2,0.1026931497,63001.5714285714,0.603971885741504,0.244142527018066,"asynchronyBetween"
"AUT",2008,3,0.2678218049,74440.8214285714,0.713635585190677,0.636719123231114,"asynchronyBetween"
"AUT",2008,4,0.3231092902,84502.8214285714,0.810096117468369,0.768159500832232,"asynchronyBetween"
"AUT",2008,5,0.3483621164,93009.3214285714,0.89164466823563,0.828195528754512,"asynchronyBetween"
"AUT",2008,6,0.4138383212,101203.521428571,0.970199318761357,0.983858551518186,"asynchronyBetween"
"AUT",2008,7,0.4206278642,104312.092857143,1,1,"asynchronyBetween"
"AUT",2008,1,0,370222,0.600208812266748,0,"asynchronyWithin"
"AUT",2008,2,0.155651352874496,495036,0.802558922995613,0.644430458884758,"asynchronyWithin"
"AUT",2008,3,0.201204663932704,581862,0.943322384739844,0.833031075627429,"asynchronyWithin"
"AUT",2008,4,0.231602637266209,602629,0.976990120326447,0.95888529753241,"asynchronyWithin"
"AUT",2008,5,0.240172676881055,615167,0.997316892069349,0.994367125731543,"asynchronyWithin"
"AUT",2008,6,0.240688384753929,616058,0.998761393076122,0.996502268504344,"asynchronyWithin"
"AUT",2008,7,0.241533203045468,616822,1,1,"asynchronyWithin"
"BEL",1978,1,0,19000,0.382418798903062,0,"asynchronyBetween"
"BEL",1978,2,0.2032032266,33068.75,0.665584824011875,0.314723620911859,"asynchronyBetween"
"BEL",1978,3,0.5884375819,44423.75,0.894130374619468,0.9113792608261,"asynchronyBetween"
"BEL",1978,4,0.6348756475,48743.75,0.981080333106901,0.983303099823715,"asynchronyBetween"
"BEL",1978,5,0.645656103,49683.75,1,1,"asynchronyBetween"
"BEL",1978,1,0,110970,0.283209555164229,0,"asynchronyWithin"
"BEL",1978,2,0.0661725126578123,185860,0.474338361023913,0.404011992199067,"asynchronyWithin"
"BEL",1978,3,0.100972110792486,252980,0.645637138554986,0.616478685776501,"asynchronyWithin"
"BEL",1978,4,0.100183747795269,306520,0.782278028736952,0.611665386533531,"asynchronyWithin"
"BEL",1978,5,0.107954408857288,346790,0.885052191001199,0.659108654595671,"asynchronyWithin"
"BEL",1978,6,0.112558690802067,371630,0.948447030600005,0.687219799940496,"asynchronyWithin"
"BEL",1978,7,0.159854828654307,387980,0.990174310287625,0.975983307770653,"asynchronyWithin"
"BEL",1978,8,0.163788486320989,391830,1,1,"asynchronyWithin"
"BEL",1988,1,0,9982.5,0.414211618257261,0,"asynchronyBetween"
"BEL",1988,2,0.2568706442,17231.25,0.714989626556017,0.603468625827404,"asynchronyBetween"
"BEL",1988,3,0.3765099703,22910,0.950622406639004,0.884538422422261,"asynchronyBetween"
"BEL",1988,4,0.4256569989,24100,1,1,"asynchronyBetween"
"BEL",1988,1,0,50680,0.269517124016167,0,"asynchronyWithin"
"BEL",1988,2,0.116181732437685,91070,0.484311848542863,0.48757054928069,"asynchronyWithin"
"BEL",1988,3,0.175587115258564,121970,0.648638587534567,0.736872350213469,"asynchronyWithin"
"BEL",1988,4,0.18649282703671,146610,0.779674537332482,0.782639475306216,"asynchronyWithin"
"BEL",1988,5,0.215073760860943,167190,0.889119336311423,0.902582785766925,"asynchronyWithin"
"BEL",1988,6,0.226211941801027,180050,0.957509040629653,0.949325495528613,"asynchronyWithin"
"BEL",1988,7,0.230041971474198,185260,0.98521591150819,0.965398673577588,"asynchronyWithin"
"BEL",1988,8,0.238287018379366,188040,1,1,"asynchronyWithin"
"BEL",1998,1,0,20364.4444444444,0.481846623024949,0,"asynchronyBetween"
